publishTime,positionLink,peopleNum,positionType,workLocation,postionName
2019年11月21日,http://careers.tencent.com/jobdesc.html?postId=0,55321,技术,深圳,18436-高级JAVA开发工程师
2019年11月21日,http://careers.tencent.com/jobdesc.html?postId=1148571562685763584,51619,技术,深圳,22989-专有云运维平台高级后台开发工程师（深圳/北京） 
2019年11月21日,http://careers.tencent.com/jobdesc.html?postId=1148571559498092544,51618,技术,深圳,22989-专有云运营平台高级研发工程师（深圳/北京）
2019年11月21日,http://careers.tencent.com/jobdesc.html?postId=1123175165849505792,37324,技术,北京,22989-云存储资深研发工程师（北京）
2019年11月21日,http://careers.tencent.com/jobdesc.html?postId=1123175518141681664,44028,技术,深圳,TEG13-高级安全运营工程师（深圳）
2019年11月21日,http://careers.tencent.com/jobdesc.html?postId=0,55320,营销与公关,深圳,14914-危机公关经理（深圳）
2019年11月21日,http://careers.tencent.com/jobdesc.html?postId=1169502540228726784,53134,技术,深圳,30620-腾讯广告微信广告排序算法研究员（深圳）
2019年11月21日,http://careers.tencent.com/jobdesc.html?postId=1171981924864888832,53326,营销与公关,深圳,14914-品牌营销经理（深圳）
2019年11月21日,http://careers.tencent.com/jobdesc.html?postId=1173893693392818176,53413,营销与公关,深圳,14914-产业生态高级公关经理
2019年11月21日,http://careers.tencent.com/jobdesc.html?postId=1174584576538841088,53486,营销与公关,北京,14914-品牌传播经理（北京）
